CT_CD,DO_NM,CT_NM,산업대분류CD,산업중분류CD,산업소분류CD,산업대분류명,산업중분류명,산업소분류명,조직형태,사업체구분,설립시기,소상공인수
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2000년이전,133
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2001,6
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2002,17
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2003,8
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2004,9
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2005,18
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2006,11
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2007,17
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2008,15
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2009,19
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2010,9
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2011,20
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2012,27
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2013,23
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,1,1,2014,36
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,2,1,2014,1
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,1,2011,1
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,2,2011,1
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,3,2006,1
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,3,2009,1
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,3,2011,1
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,3,3,2014,1
11110,서울,종로구,Q,86,2,보건업 및 사회복지 서비스업(86~87),보건업,의원,5,1,2008,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2000년이전,2
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2002,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2003,2
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2008,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2010,2
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2011,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2012,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2013,7
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,1,1,2014,3
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,2,1,2010,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,3,1,2004,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,3,2,2009,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,3,3,2002,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,3,3,2008,1
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,3,3,2013,2
11110,서울,종로구,Q,86,9,보건업 및 사회복지 서비스업(86~87),보건업,기타 보건업,4,1,2008,1
11110,서울,종로구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,2,2000년이전,2
11110,서울,종로구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,3,2000년이전,1
11110,서울,종로구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,3,2007,1
11110,서울,종로구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,3,3,2010,1
11110,서울,종로구,Q,87,1,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,거주 복지시설 운영업,4,1,2000년이전,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2000년이전,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2006,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2008,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2010,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2011,2
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2012,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2013,3
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,1,1,2014,3
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,2,1,2013,2
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2000년이전,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2001,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2002,1
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2006,2
11110,서울,종로구,Q,87,2,보건업 및 사회복지 서비스업(86~87),사회복지 서비스업,비거주 복지시설 운영업,3,1,2007,1
